eventID,eventTime,companyID,deviceID,eventDetail,deviceType,deviceDN
208828045,2/19/2019 20:54:53,522,91538,塑料注射成型机发生故障,MA2500Ⅱ/1000,051900000000008A
208850253,2/19/2019 20:58:37,522,91538,塑料注射成型机恢复正常,MA2500Ⅱ/1000,051900000000008A
208872851,2/19/2019 21:54:34,522,91538,塑料注射成型机发生故障,MA2500Ⅱ/1000,051900000000008A
208897471,2/19/2019 21:59:32,522,91538,塑料注射成型机恢复正常,MA2500Ⅱ/1000,051900000000008A
208920033,2/19/2019 22:55:29,522,91538,塑料注射成型机发生故障,MA2500Ⅱ/1000,051900000000008A
208942402,2/19/2019 22:59:13,522,91538,塑料注射成型机恢复正常,MA2500Ⅱ/1000,051900000000008A
208965085,2/19/2019 23:55:09,522,91538,塑料注射成型机发生故障,MA2500Ⅱ/1000,051900000000008A
208987199,2/19/2019 23:58:53,522,91538,塑料注射成型机恢复正常,MA2500Ⅱ/1000,051900000000008A
209010932,2/20/2019 00:54:50,522,91538,塑料注射成型机发生故障,MA2500Ⅱ/1000,051900000000008A
209033356,2/20/2019 00:58:33,522,91538,塑料注射成型机恢复正常,MA2500Ⅱ/1000,051900000000008A
209056334,2/20/2019 06:44:36,522,91538,塑料注射成型机已离线,MA2500Ⅱ/1000,051900000000008A
209079714,2/20/2019 06:48:57,522,91538,塑料注射成型机已离线,MA2500Ⅱ/1000,051900000000008A
209323881,2/22/2019 12:28:10,522,91538,塑料注射成型机已上线,MA2500Ⅱ/1000,051900000000008A
209344689,2/22/2019 12:55:31,522,91538,塑料注射成型机发生故障,MA2500Ⅱ/1000,051900000000008A
209366954,2/22/2019 12:59:14,522,91538,塑料注射成型机恢复正常,MA2500Ⅱ/1000,051900000000008A
209389686,2/22/2019 13:55:11,522,91538,塑料注射成型机发生故障,MA2500Ⅱ/1000,051900000000008A
209411801,2/22/2019 13:58:55,522,91538,塑料注射成型机恢复正常,MA2500Ⅱ/1000,051900000000008A
209434522,2/22/2019 14:54:51,522,91538,塑料注射成型机发生故障,MA2500Ⅱ/1000,051900000000008A
209456747,2/22/2019 14:58:35,522,91538,塑料注射成型机恢复正常,MA2500Ⅱ/1000,051900000000008A
209479355,2/22/2019 15:54:32,522,91538,塑料注射成型机发生故障,MA2500Ⅱ/1000,051900000000008A
209504030,2/22/2019 15:59:30,522,91538,塑料注射成型机恢复正常,MA2500Ⅱ/1000,051900000000008A
209526633,2/22/2019 16:55:27,522,91538,塑料注射成型机发生故障,MA2500Ⅱ/1000,051900000000008A
209549038,2/22/2019 16:59:11,522,91538,塑料注射成型机恢复正常,MA2500Ⅱ/1000,051900000000008A
209571574,2/22/2019 17:55:07,522,91538,塑料注射成型机发生故障,MA2500Ⅱ/1000,051900000000008A
209593822,2/22/2019 17:58:51,522,91538,塑料注射成型机恢复正常,MA2500Ⅱ/1000,051900000000008A
209616465,2/22/2019 18:54:47,522,91538,塑料注射成型机发生故障,MA2500Ⅱ/1000,051900000000008A
209638672,2/22/2019 18:58:31,522,91538,塑料注射成型机恢复正常,MA2500Ⅱ/1000,051900000000008A
209664798,2/22/2019 19:55:42,522,91538,塑料注射成型机发生故障,MA2500Ⅱ/1000,051900000000008A
209685908,2/22/2019 19:59:26,522,91538,塑料注射成型机恢复正常,MA2500Ⅱ/1000,051900000000008A
209708463,2/22/2019 20:55:23,522,91538,塑料注射成型机发生故障,MA2500Ⅱ/1000,051900000000008A
209730908,2/22/2019 20:59:07,522,91538,塑料注射成型机恢复正常,MA2500Ⅱ/1000,051900000000008A
209753555,2/22/2019 21:55:03,522,91538,塑料注射成型机发生故障,MA2500Ⅱ/1000,051900000000008A
